ID,tobacco_type,response
377,e-cigarette,.S
377,heated tobacco,.S
377,hookah,.S
377,smokeless tobacco,.S
378,cigar,.S
378,cigarette,.S
378,e-cigarette,.S
378,heated tobacco,.S
378,hookah,.S
378,smokeless tobacco,.S
379,cigar,0
379,cigarette,0
379,e-cigarette,25
379,heated tobacco,.S
379,hookah,.S
379,smokeless tobacco,.S
380,cigar,1
380,cigarette,1
380,e-cigarette,2
380,heated tobacco,.S
380,hookah,.S
380,smokeless tobacco,1
381,cigar,.S
381,cigarette,.S
381,e-cigarette,.S
381,heated tobacco,.S
381,hookah,.S
381,smokeless tobacco,.S
382,cigar,.S
382,cigarette,.S
382,e-cigarette,0
382,heated tobacco,.S
382,hookah,.S
